LineId,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
7,Jun,15,02:04:59,combo,sshd(pam_unix)[20885],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root'], '0']"
8,Jun,15,02:04:59,combo,sshd(pam_unix)[20886],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root'], '0']"
9,Jun,15,02:04:59,combo,sshd(pam_unix)[20892],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root'], '0']"
10,Jun,15,02:04:59,combo,sshd(pam_unix)[20893],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root'], '0']"
11,Jun,15,02:04:59,combo,sshd(pam_unix)[20896],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root'], '0']"
20,Jun,15,12:12:34,combo,sshd(pam_unix)[23397],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=218.188.2.4'], '0']"
23,Jun,15,12:12:34,combo,sshd(pam_unix)[23404],check pass; user unknown,1,check pass; user unknown ,['0']
24,Jun,15,12:12:34,combo,sshd(pam_unix)[23404],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=218.188.2.4'], '0']"
31,Jun,15,12:12:34,combo,sshd(pam_unix)[23407],check pass; user unknown,1,check pass; user unknown ,['0']
32,Jun,15,12:12:34,combo,sshd(pam_unix)[23394],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=218.188.2.4'], '0']"
37,Jun,15,12:12:34,combo,sshd(pam_unix)[23412],check pass; user unknown,1,check pass; user unknown ,['0']
40,Jun,15,12:13:19,combo,sshd(pam_unix)[23414],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=218.188.2.4'], '0']"
43,Jun,15,14:53:32,combo,sshd(pam_unix)[23661],check pass; user unknown,1,check pass; user unknown ,['9612']
44,Jun,15,14:53:32,combo,sshd(pam_unix)[23661],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=061092085098.ctinets.com'], '0']"
50,Jun,15,14:53:33,combo,sshd(pam_unix)[23665],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=061092085098.ctinets.com'], '0']"
51,Jun,15,14:53:34,combo,sshd(pam_unix)[23669],check pass; user unknown,1,check pass; user unknown ,['1']
57,Jun,15,14:53:35,combo,sshd(pam_unix)[23674],check pass; user unknown,1,check pass; user unknown ,['0']
60,Jun,15,14:53:36,combo,sshd(pam_unix)[23678],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=061092085098.ctinets.com'], '0']"
65,Jun,15,20:05:31,combo,sshd(pam_unix)[24137],check pass; user unknown,1,check pass; user unknown ,['0']
66,Jun,15,20:05:31,combo,sshd(pam_unix)[24137],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=d211-116-254-214.rev.krline.net'], '0']"
68,Jun,15,20:05:31,combo,sshd(pam_unix)[24141],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=d211-116-254-214.rev.krline.net'], '0']"
93,Jun,17,20:34:57,combo,sshd(pam_unix)[30631],session closed for user test,6,session * for user test ,"[['closed'], '331']"
99,Jun,17,20:55:07,combo,ftpd[30758],connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,5,connection from * at * Jun * 2005 ,"[['82.252.162.81', '(lns-vlq-45-tou-82-252-162-81.adsl.proxad.net)'], ['Fri'], ['17', '20:55:07'], '1']"
106,Jun,18,01:30:59,combo,sshd(pam_unix)[31198],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net'], '0']"
122,Jun,18,02:08:10,combo,ftpd[31273],connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,5,connection from * at * Jun * 2005 ,"[['82.252.162.81', '(lns-vlq-45-tou-82-252-162-81.adsl.proxad.net)'], ['Sat'], ['18', '02:08:10'], '0']"
